WELL_ALIAS,SURFACE_LATITUDE,SURFACE_LONGITUDE,BOPD,START_DATETIME_JOB,END_DATETIME_JOB,MOVING_TIME
WELL-1670,2.5102159,116.9685597,99,1/3/2023 19:00,1/15/2023 22:00,0.75
WELL-804,2.511366352,116.9814917,32,1/17/2023 20:30,1/20/2023 14:00,0.4
WELL-808,2.51155106,116.9815327,63.3,1/20/2023 14:00,1/23/2023 0:00,0.51
WELL-833,2.444373054,117.1013259,44.7,1/20/2023 20:30,1/31/2023 3:30,1.33
WELL-825,2.510217281,116.9916249,30,1/23/2023 0:00,1/24/2023 20:00,0.4
WELL-1750,2.502996012,116.8807294,70,1/27/2023 9:00,2/3/2023 11:30,0.48
WELL-991,2.455050057,117.0853993,50,2/7/2023 6:00,3/3/2023 5:00,2.75
WELL-657,2.533089167,116.9576523,75,3/6/2023 11:30,3/12/2023 0:00,0.52
WELL-774,2.518259526,117.0083205,51.3,3/12/2023 0:00,3/14/2023 1:30,0.51
WELL-778,2.523126483,116.9769867,30,3/14/2023 1:30,3/15/2023 16:00,0.4
WELL-1448,2.521092397,116.9769692,85,3/15/2023 16:00,3/22/2023 0:00,0.9
WELL-1493,2.506969909,116.9990027,30,3/22/2023 0:00,3/24/2023 0:00,0.4
WELL-1136,2.485662935,116.9636576,17.7,3/24/2023 0:00,3/26/2023 12:00,0.51
WELL-1562,2.486519827,116.9277857,5,3/26/2023 12:00,3/28/2023 5:00,0.51
WELL-879,2.529418005,116.9830603,5,3/28/2023 5:00,3/30/2023 7:00,0.51
WELL-621,2.499611611,116.9781589,30,4/4/2023 3:30,4/5/2023 22:30,0.4
WELL-1669,2.510225734,116.9684584,80,4/5/2023 22:30,4/10/2023 10:00,1.17
WELL-861,2.529313288,116.9881916,5,4/10/2023 10:00,4/13/2023 0:00,0.48
WELL-732,2.482846468,117.0674136,30,4/13/2023 0:00,4/14/2023 17:00,0.4
WELL-548,2.479035537,116.947209,19,4/14/2023 17:00,4/16/2023 11:30,0.51
WELL-1263,2.504726135,116.993837,84,4/16/2023 11:30,4/19/2023 3:30,0.64
WELL-1127,2.534570764,116.9584659,5,4/28/2023 2:00,5/3/2023 17:00,1.86
WELL-1607,2.532893602,116.9622013,34,5/3/2023 17:00,5/5/2023 6:00,0.51
WELL-1452,2.52627729,116.9728812,100,5/8/2023 17:30,5/15/2023 5:00,1.03
WELL-1686,2.506259394,116.9737135,100,5/15/2023 5:00,5/22/2023 0:00,0.69
WELL-1330,2.489713496,117.003222,5,5/22/2023 0:00,5/23/2023 17:00,0.51
WELL-1361,2.5231472,116.9796631,33,5/23/2023 17:00,5/25/2023 5:00,0.4
WELL-984,2.501133784,117.0358701,46,5/25/2023 5:00,5/27/2023 11:00,0.4
WELL-652,2.499279616,116.9672207,35,5/27/2023 11:00,5/28/2023 9:30,0.51
WELL-657,2.533089167,116.9576523,33,6/5/2023 0:00,6/7/2023 5:00,0.4
WELL-1677,2.509048631,116.9689603,80,6/7/2023 5:00,6/11/2023 17:00,1.16
WELL-1098,2.476629934,116.9785359,30,6/11/2023 17:00,6/13/2023 21:00,0.4
WELL-1016,2.502839294,117.0305605,13.6,6/13/2023 21:00,6/15/2023 19:30,0.51
WELL-1230,2.482433472,117.0336863,15,6/15/2023 19:30,6/17/2023 16:00,0.4
WELL-1698,2.475611738,117.0464992,96,6/17/2023 16:00,6/22/2023 15:30,0.38
WELL-1564,2.510455866,116.9683532,30,6/25/2023 21:00,6/27/2023 17:00,0.4
WELL-785,2.516857986,116.9744763,30,6/27/2023 17:00,6/29/2023 15:00,0.4
WELL-1646,2.481513881,117.0252208,26,6/29/2023 15:00,7/2/2023 9:00,0.82
WELL-1540,2.46093206,117.0786321,29,7/2/2023 9:00,7/4/2023 0:00,0.4
WELL-693,2.475693732,117.0412046,78,7/4/2023 0:00,7/9/2023 9:00,1.42
WELL-1360,2.523186678,116.979711,78,7/9/2023 9:00,7/16/2023 12:00,1.16
